Model,Complexity,R² (Log Scale),R² (Original Scale),RMSE (Original Scale),MAE (Original Scale),MAPE (%)
LightGBM,Medium,0.9749754964726589,0.9734174677561522,2214708.4859765456,1244142.6748398952,19.300004039002914
XGBoost,Medium,0.9656071393707444,0.9693003298298853,2380045.4460590356,1361743.2486616806,28.40039882890129
Random Forest,Low,0.976467233823652,0.9199596005278664,3843023.310787619,2398066.1919265967,18.22096924921367
TabNet,High,0.9527184375383062,0.8774076124950027,4756090.901975937,2904723.7960113734,31.239718619550672
SVM,Low,0.94350914505706,0.8771437264822632,4761207.007544965,2611453.0172084756,18.67786991690767
LSTM,High,0.973068356513977,0.8741478136138104,4818909.579889305,2976509.1402046615,19.33087873470469
TCN,High,0.9700793623924255,0.863493368524901,5018746.618194213,3340846.907593151,21.211008062965508
Poly Regression,Low,0.7033784812580303,0.8379121424226728,5468820.084606737,3435391.731293868,28.66210022367556
