Model,CV_R2,Test_R2_Log,Test_RMSE_Orig
Baseline,,0.8182193394783402,7648476.475923491
Coarse Tuning,0.6926601131384869,0.8406833428165634,7598639.485251416
Fine Tuning,0.7021933294254261,0.8392537111124149,7236678.162332288
