fips,year,month,prism_prcp_mm,prism_tmax_c,prism_tmin_c,vpd_proxy,heat_days_35c
27001,2010,1,18.541999999999998,-7.222222222222222,-17.61111111111111,0.0635,2.0355519565237532e-08
27001,2010,2,5.334,-2.6111111111111107,-17.0,0.1535,2.041607464289492e-07
27001,2010,3,24.383999999999997,8.38888888888889,-3.8333333333333326,0.318,4.995640468795949e-05
27001,2010,4,23.622,16.333333333333332,0.8888888888888897,0.6725000000000001,0.002652575100568153
27001,2010,5,78.232,19.388888888888893,5.555555555555555,0.773,0.012218970744825612
27001,2010,6,107.18799999999999,22.16666666666667,10.722222222222221,0.603,0.04894284719155169
27001,2010,7,114.80799999999998,26.22222222222222,14.5,0.8855,0.367868554127496
27001,2010,8,130.048,25.777777777777782,14.277777777777779,0.795,0.29528762078458337
27001,2010,9,102.86999999999999,16.666666666666668,5.944444444444446,0.44500000000000006,0.0031335969664269482
27001,2010,10,110.48999999999998,15.277777777777779,2.1111111111111094,0.5635000000000001,0.001564849082659319
27001,2010,11,36.321999999999996,4.166666666666667,-5.222222222222221,0.23550000000000004,6.049895936380449e-06
27001,2010,12,41.401999999999994,-6.166666666666668,-14.944444444444445,0.06549999999999999,3.450588482487022e-08
27001,2011,1,18.796,-9.88888888888889,-19.666666666666668,0.047,5.365656704936318e-09
27001,2011,2,8.636000000000001,-4.222222222222223,-16.666666666666668,0.11099999999999999,9.122710934106401e-08
27001,2011,3,22.605999999999998,1.0555555555555547,-10.88888888888889,0.18250000000000002,1.2769643693727811e-06
27001,2011,4,56.641999999999996,9.555555555555557,-0.9444444444444441,0.37500000000000006,8.952185033793876e-05
27001,2011,5,122.428,16.88888888888889,4.833333333333335,0.583,0.0035018113781356383
27001,2011,6,88.89999999999999,21.0,10.61111111111111,0.641,0.02733153583201936
27001,2011,7,112.014,27.38888888888889,15.277777777777779,0.925,0.6528805068884698
27001,2011,8,89.408,25.33333333333333,12.333333333333336,0.8255000000000001,0.2369125052225649
27001,2011,9,22.352,19.777777777777775,5.999999999999998,0.6410000000000001,0.014840304409918256
27001,2011,10,39.37,15.166666666666666,3.1666666666666683,0.561,0.0014802879798503411
27001,2011,11,10.16,5.055555555555556,-4.444444444444445,0.23850000000000005,9.43555879560036e-06
27001,2011,12,5.842,-1.1111111111111112,-9.61111111111111,0.1315,4.3220830029627334e-07
27001,2012,1,12.191999999999998,-2.9444444444444446,-12.777777777777779,0.115,1.7281834097268406e-07
27001,2012,2,17.018,-0.22222222222222143,-10.055555555555555,0.14600000000000002,6.740822155679934e-07
27001,2012,3,29.971999999999998,10.444444444444443,-1.8333333333333337,0.3825,0.0001396201481774759
27001,2012,4,86.868,12.277777777777779,-0.33333333333333415,0.4965,0.00034917917614047083
27001,2012,5,229.10799999999998,19.333333333333332,7.000000000000001,0.7145,0.011884358259857935
27001,2012,6,285.75,23.944444444444443,12.444444444444445,0.8575,0.11877226847850837
27001,2012,7,158.242,28.166666666666668,16.77777777777778,1.03,0.9533589287769074
27001,2012,8,59.69,25.166666666666668,11.777777777777779,0.904,0.21810774389080473
27001,2012,9,16.764,20.33333333333333,4.944444444444444,0.8405,0.019588960126580717
27001,2012,10,30.479999999999997,11.11111111111111,0.33333333333333415,0.3955,0.00019485525482482345
27001,2012,11,24.892,4.000000000000002,-5.555555555555555,0.20500000000000002,5.566173055104994e-06
27001,2012,12,25.907999999999998,-3.6666666666666674,-12.333333333333334,0.07250000000000001,1.2043737174449686e-07
27001,2013,1,20.32,-6.111111111111111,-16.833333333333332,0.08349999999999999,3.5477818204228296e-08
27001,2013,2,20.32,-4.666666666666666,-17.11111111111111,0.10400000000000001,7.30489586536345e-08
27001,2013,3,48.513999999999996,0.33333333333333415,-12.88888888888889,0.186,8.899184734020037e-07
27001,2013,4,97.78999999999999,5.277777777777778,-4.277777777777778,0.29150000000000004,1.0544416488576362e-05
27001,2013,5,100.33,16.72222222222222,4.833333333333335,0.6735,0.0032218520690177298
27001,2013,6,133.60399999999998,21.77777777777778,10.833333333333334,0.7345000000000002,0.04030587005132293
27001,2013,7,43.942,25.611111111111107,13.666666666666666,0.9035000000000001,0.2718917040276112
27001,2013,8,86.106,25.944444444444443,11.88888888888889,0.964,0.3206750087152282
27001,2013,9,48.26,21.5,8.499999999999998,0.6315000000000001,0.035085307951665444
27001,2013,10,127.0,11.222222222222223,2.4444444444444438,0.36750000000000005,0.0002059868196552674
27001,2013,11,11.937999999999999,2.055555555555557,-7.166666666666667,0.16699999999999998,2.105358259575545e-06
27001,2013,12,47.244,-9.666666666666666,-20.0,0.0545,5.996223683962935e-09
27001,2014,1,14.985999999999999,-11.166666666666666,-23.555555555555557,0.061000000000000006,2.8324155113563066e-09
27001,2014,2,33.528,-8.944444444444445,-22.944444444444443,0.08800000000000001,8.60411860432513e-09
27001,2014,3,27.432,-1.6666666666666667,-14.944444444444445,0.16400000000000003,3.2738271682208837e-07
27001,2014,4,75.438,7.444444444444445,-2.999999999999999,0.32850000000000007,3.115357866029818e-05
27001,2014,5,113.03,17.333333333333332,5.833333333333333,0.7210000000000001,0.004373106151707301
27001,2014,6,165.1,22.88888888888889,11.722222222222221,0.7325,0.07017941614642524
27001,2014,7,86.868,24.388888888888893,12.777777777777779,0.8180000000000001,0.14818262193650011
27001,2014,8,134.112,24.0,12.555555555555555,0.6755,0.12210413147688383
27001,2014,9,65.532,19.499999999999996,7.722222222222222,0.5625000000000001,0.012916712439738423
27001,2014,10,40.894,12.277777777777779,1.6111111111111103,0.38500000000000006,0.00034917917614047083
