fips,county_name,Albedo_inst,AvgSurfT_inst,CanopInt_inst,ECanop_tavg,ESoil_tavg,Evap_tavg,LWdown_f_tavg,Lwnet_tavg,PotEvap_tavg,Psurf_f_inst,Qair_f_inst,Qg_tavg,Qh_tavg,Qle_tavg,Qs_acc,Qsb_acc,Qsm_acc,Rainf_f_tavg,Rainf_tavg,RootMoist_inst,SWE_inst,SWdown_f_tavg,SnowDepth_inst,Snowf_tavg,SoilMoi0_10cm_inst,SoilMoi100_200cm_inst,SoilMoi10_40cm_inst,SoilMoi40_100cm_inst,SoilTMP0_10cm_inst,SoilTMP100_200cm_inst,SoilTMP10_40cm_inst,SoilTMP40_100cm_inst,Swnet_tavg,Tair_f_inst,Tveg_tavg,Wind_f_inst,year,month
27073,Lac qui Parle,45.62861735988132,268.9015015134436,0.17042041501695981,0.0940852999638175,4.831143055393097,4.656391692953585e-06,259.4582954084978,-35.64868715709771,19.939335401663463,98048.65703973433,0.0030374333949359936,6.535604725551256,-7.689608951869965,12.644099874381736,0.003369869837858242,3.87294594789279e-05,0.13123383105958158,1.767320809706432e-05,7.657358186151683e-06,143.1370686104978,12.52301225028217,93.1773644183377,0.09856738437228434,1.0015352729514252e-05,31.4604440577117,247.62338857036957,54.81519410497698,56.86154115406786,268.82636474368263,274.86739692975726,268.4644917151692,269.6325520710818,50.66545159674845,269.78421307239125,0.0007946570158443044,4.5375886082275105,2000,2
27153,Todd,56.148677209888184,265.5902728333275,0.20619761827510652,0.07823711150393474,2.168450136971288,3.1220905013605767e-06,249.60073627096583,-31.664550596137477,11.766010377794386,96496.64740200501,0.002597769671163433,4.210997424995242,-7.623314790285186,8.668520964216192,0.06169348473857708,2.8247152434675e-05,0.17910841465722072,1.7108716710673157e-05,5.744184090759367e-06,149.30246796406843,25.655459038401823,94.18026502124242,0.19185636437458276,1.136458789068995e-05,26.615615162212144,210.63814824062698,51.440094593533374,71.24690596272598,266.9714248385053,274.4161292718242,267.79063197195455,268.883070185607,41.925468741034976,266.85366667153755,4.5019839846655054e-05,4.124489003984765,2000,2
27001,Aitkin,50.24483812668563,264.9701038858204,0.17521534050617174,0.10270807706388811,2.6793269207167305,4.0157187990364856e-06,243.17830469424553,-34.681886720840616,12.448203321170162,97173.30970012119,0.0025478798561739797,1.4807848071946197,-6.0525946629705665,11.087046424075153,0.08797596222533022,0.0007084941989579976,0.1950625447395685,1.61961333504067e-05,6.343402450483122e-06,365.7198242592508,36.830871434957906,92.61969511570517,0.2330727336012134,9.852572475094102e-06,28.197268384402506,242.1534244886421,68.24404204207828,135.14863382760015,267.4890186886379,273.97880775117693,268.9368515754265,270.27444329129236,46.62334045003801,266.5555299213091,8.12963342909818e-06,3.688226089938181,2000,2
27057,Hubbard,48.49191364469608,264.91466130948993,0.21060525651577058,0.09599019923582516,2.4217743396011113,3.46833341829146e-06,244.7625181842364,-32.90182127739993,12.108203975184136,96200.81227459735,0.0025249698518411876,1.6732978178641018,-1.1964012596914957,9.608082300811413,0.12016253143853814,1.0033479942340182e-05,0.1783265865847868,1.5784503911251346e-05,4.975316751926406e-06,280.8536718196886,29.926381012941132,92.84509016632902,0.20354798587449474,1.0808692383890699e-05,24.751245983236366,201.96168426969763,59.07085442818625,101.75564930263431,266.85885483176185,273.35454441590895,268.06612109161637,269.21488606788176,48.109216680485154,266.12713390603017,0.0,3.6015519839882595,2000,2
27063,Jackson,50.09112819984216,269.4414180153358,0.19906614945082263,0.27898944585313756,5.146278486074553,5.504397704103876e-06,262.57015210344593,-35.01063026931921,23.569790544621796,96533.97060193696,0.0033047545522681427,6.99230211744756,-12.584458599948825,14.971910429342236,0.0038291680966723502,0.0010002548059571514,0.15202611246084738,1.9361427733360788e-05,7.560868529194822e-06,164.0429920380513,15.187013848940474,97.72806225749768,0.09935737372629744,1.1800006729478224e-05,29.649636342616677,286.6747010196266,57.80905998465072,76.58420082203197,269.2749217513736,274.9860247299799,268.87845830099604,269.89436835537373,48.70220029187472,270.7141260889913,0.0032822504093025268,4.948825534008343,2000,2
27121,Pope,55.46732617999014,266.5985019773309,0.1728777229622243,0.06657072813236986,3.0069897268982553,3.790023704053138e-06,253.79230637031657,-31.72792277274744,15.12844984473675,97267.34880098811,0.002682002216565523,4.9727160162145845,-9.750240066097527,10.432657553258062,0.006711136722412574,6.569438548889907e-05,0.16426073781272732,1.8847201332626665e-05,6.925280027579727e-06,144.79757636851707,20.849391099807303,93.85481813042841,0.16424232637482844,1.192157423994126e-05,29.15425647985092,226.12250298901137,52.47132430771172,63.17203073131969,267.2577648299044,274.26438576126327,267.44496493301045,268.7407090665827,41.89860177374004,267.7279049960152,0.00010831174183056761,4.451929656177159,2000,2
27133,Rock,42.564482016716994,270.3240586355519,0.2743742778451977,0.9766353859704868,7.152185435362863,7.033217658361557e-06,261.1117806722735,-40.13800133309778,30.534524630249354,96142.50795370243,0.0034019042976269217,6.5152086412258505,-11.275719031168078,18.977223473044226,0.0022188200227450418,0.00016461519962649956,0.1137518540320808,1.7771079349257474e-05,7.732755853345145e-06,169.92528161045874,9.92200786019483,100.09854768449337,0.06230870039450863,1.0037862191050975e-05,32.41115305298778,292.84186218913806,62.18695739889691,75.3270484141396,270.06141555061583,274.8329857021555,269.46130664634063,270.6027646298611,57.6223712993588,271.55226385918036,0.028276197550890052,4.929491701798985,2000,2
27161,Waseca,60.93887830894423,268.3379535246308,0.21258569480810188,0.08513790042966507,3.804248853534045,3.619287085986264e-06,261.5924853506822,-31.44683948995169,14.762086565679946,97789.42589736475,0.00315161088557802,6.251972427475078,-14.802019178069473,9.83946612692551,0.013499563542888915,0.0014654669754572104,0.21966235173420393,2.215802805907283e-05,1.004959695650327e-05,206.01683093182496,27.478630409008574,97.48397785238481,0.17081525184624305,1.2108032923976554e-05,34.473561380368714,273.0559922714156,72.5403161527566,99.0029769381699,268.95164537451416,274.71128078630596,269.3267301146072,270.33634386495606,38.93774030376145,269.7584613640182,0.00033183752389720153,4.627949607925377,2000,2
27033,Cottonwood,51.2729159646404,269.11528717840685,0.20003038973644072,0.20726906471881287,4.903958431480005,4.998042761330313e-06,262.92409879881103,-33.38506028259156,20.973154441746082,96935.69199371754,0.0032313146353706293,6.684084667092776,-12.936509989952048,13.585185084012714,0.003371533466674201,0.0005669028199002658,0.15123156640345112,1.8472871621410165e-05,7.473200344855114e-06,151.40631886856366,16.11615737631693,92.26559120212205,0.10752219004830856,1.0999450955417954e-05,31.43705323432531,289.087277967318,53.57954664636331,66.38968046261803,269.003125967355,275.16230419635207,268.71209389868585,270.02799638805766,45.01065295123578,270.3783296824805,0.0017185817856065191,4.842021504960683,2000,2
27071,Koochiching,45.33733726405408,263.93022395014737,0.24470352585684516,0.17336398599513667,2.479977003166179,4.125660376500426e-06,234.85348773022912,-37.67685819888774,12.722020909163811,97197.01427333854,0.002364346602147085,-2.4210844525425763,1.9575224625559158,11.387297110560834,0.10636707649014361,0.0006252445409001805,0.16398107911254736,1.2271565349329585e-05,4.888458937811847e-06,550.3168198449471,39.25296172631335,96.89617736710912,0.24134327268058542,7.3827172134154884e-06,32.759613152072205,281.3661827433308,82.50134236442535,163.91454438088934,266.4780990726203,274.03295708192866,268.05413944694425,269.86028144013954,53.13789813945365,265.17384988997065,0.0,3.3587984304322505,2000,2
