year,,2022,2022,2022,2022,2022,2022,2022
month,,2,3,4,5,6,7,8
fips,county_name,,,,,,,
27001,Aitkin,681.7517964397035,1017.2820990999778,3709.8695152665628,5754.888644381081,7502.129124900457,8183.271476606168,8154.38747511976
27003,Anoka,476.6348100991319,3159.704611499596,3422.526520098511,5255.495896444879,6827.989029074285,7309.893109979134,7257.08011691398
27005,Becker,315.01829376004406,970.2693970871873,3043.518434503371,5228.32003380712,6902.645199001005,7837.7237215694895,7995.747307565808
27007,Beltrami,800.0935358067645,1097.8314340500615,3201.564418249222,4860.193771464021,6675.872879133105,6999.862987631145,7095.629970709277
27009,Benton,97.589935732515,2876.332491243297,3087.1291497473726,5145.676678755566,6107.08139600963,7516.212397838466,7876.465386483166
27011,Big Stone,5.990181568199274,2319.474360063091,2446.7543026406324,3190.1044482187,4907.361539083688,6837.795830805957,7921.4459682963625
27013,Blue Earth,129.75335031470522,2435.690083807623,2522.20520926319,3700.2533730576183,5750.399651180648,7810.446046713945,8535.745570818592
27015,Brown,223.9502946722622,2523.969643729683,2557.0661050165745,3426.9909455090046,5942.449787529048,7659.718778058258,8445.11640656834
27017,Carlton,1017.9547379616629,1094.26825812417,4053.2019017482007,5906.967425465559,7848.165033368618,8564.85200666893,8494.471162368434
27019,Carver,194.37358756455336,2728.2116025216924,3078.4426160953963,4889.550309196269,6161.429789964232,7531.0706382418175,7916.101136822578
27021,Cass,848.0596825418612,778.2884327327438,3409.8355242726234,6192.600122336857,7553.578618588676,8008.239074615188,7964.766581963115
27023,Chippewa,449.0370613423437,2543.21942954224,2596.5460163295074,3293.876979895243,5341.384356252612,7251.595879885555,8464.909662636199
27025,Chisago,371.667422978162,2982.9579924352915,3322.7176886036877,5302.7509623246915,6769.716084330729,7699.880719555877,7947.545087003718
27027,Clay,-22.109098770600717,2394.6235179115433,2533.7700987029507,3143.851846550105,5929.803371607245,7234.065307487095,7892.8868725176
27029,Clearwater,461.0209707262441,1703.050609602662,3331.3433757826665,6088.144243189776,7616.506022015767,8165.866718309794,8193.964347495725
27031,Cook,3086.977380341404,2449.489973859656,2741.1772039287466,6270.632626001398,7668.095671395812,8501.197579023168,8406.638681280727
27033,Cottonwood,380.72332401883034,2401.4048267586372,2410.2390051103903,3169.8231570290936,5519.604538092959,7397.37174768606,8564.383854861582
27035,Crow Wing,610.7318143526767,774.198224995862,3634.774064527285,6147.791964870735,7533.4276678163,8140.077411852829,8027.546672834769
27037,Dakota,232.6656280136767,2804.4014984365444,2991.908161401564,4519.156566892664,5971.925951225931,7146.407688345658,7480.412842645899
27039,Dodge,179.64818602114622,2510.7296669517564,2629.989000855252,3421.335031420829,5977.558390659301,7975.334176179705,8657.519396621208
27041,Douglas,-4.7368579010785234,1471.6298789908299,2770.2299189083383,4837.921328513674,6005.155518594922,7063.867843493827,7773.401485818222
27043,Faribault,904.7632563029376,2249.4545653140285,2346.702761170378,3025.70831658266,5813.037484620996,7832.4800698447025,8762.822314795603
27045,Fillmore,229.5416215748239,2748.564966629917,3017.4861821617137,4502.88687018897,6370.354745274598,8099.630423434693,8547.059216942489
27047,Freeborn,669.12947240568,2322.974919911947,2442.4673012981175,3197.400847187437,5784.246063918641,7900.406312912798,8573.283139755587
27049,Goodhue,219.65047440596845,2690.701398563517,2848.086452865675,4455.604242221375,6021.728310042462,7952.916326482427,8432.945781182945
27051,Grant,-125.60632913483897,1785.1529834648782,2507.3504614305875,3356.715948957186,5409.805086659387,7100.572963307723,8021.02813010015
27053,Hennepin,329.93195479724926,2679.4781482498192,3151.6353196641135,5213.647885564268,6246.964035587844,6417.561441110433,6538.619749984168
27055,Houston,330.6341018797753,3111.919205310774,3451.2220138935695,5693.923820443395,7142.407474780557,8216.565343148115,8435.229885633344
27057,Hubbard,947.2686477380862,1119.8331371312688,3656.4084927022227,6382.725790269837,7689.946606118407,8233.894734226456,8169.1563166194055
27059,Isanti,394.38199060761104,3003.5300841207004,3207.0006232027495,5075.113289856968,6519.428679463722,7669.711725548045,7898.92194093812
27061,Itasca,1344.8707731992986,1076.4931991597236,3958.412004669742,6058.0724680789945,7703.719783499993,8387.78213542958,8348.964346707582
27063,Jackson,1288.9756057494913,2262.2490790174234,2368.695080994763,3037.9165092402573,5647.7814328086015,7458.177176971658,8603.127834816361
27065,Kanabec,355.9686297703546,2742.691102906623,3371.633191546991,6038.131974813017,7400.846653682871,8229.533114679676,8266.341732979672
27067,Kandiyohi,239.75580741793027,2315.864408140575,2637.235945770667,3822.8102220437886,5571.330803866459,7202.993286186339,8083.3694067508695
27069,Kittson,5.598697984583705,1534.39085365411,2443.3405615201723,3978.7510106059012,6222.166551660406,7742.545170281626,7767.112572988172
27071,Koochiching,2162.374715874979,1876.8288298643834,4790.11288924607,6150.998420842826,7621.281093499101,8246.714877600903,8234.551226072095
27073,Lac qui Parle,302.5451131633646,2562.6608951614253,2495.0746968691587,3135.1876216773535,5416.098730716713,6980.788216970948,8220.68667567879
27075,Lake,2541.9170022376343,1845.761806583766,3597.966573969963,5845.349183207722,7335.019865741927,8237.194547741772,8230.005747860914
27077,Lake of the Woods,961.303359466458,846.9018295059988,2899.295206202659,3903.3323082219663,5202.744776453492,5848.910801808885,6012.208122589952
27079,Le Sueur,151.44101670291113,2479.1332646515953,2702.1752252334586,4187.686824984922,5760.78330759672,7768.559186601117,8287.806344913288
27081,Lincoln,1913.4982697446237,2538.085011488577,2473.7813048793623,3333.01370664904,5212.429545354989,7165.563858170825,8236.641052648349
