Model,R2_Original,RMSE_Original,R2_Log,RMSE_Log
LightGBM,0.7144904605390482,27259701.910582174,0.7333125706544925,0.09064534651701096
Hybrid,0.213526454357714,45243151.629946575,0.12555564400056907,0.16413845093988727
