Model,Complexity,R² (Log Scale),R² (Original Scale),RMSE (Original Scale),MAE (Original Scale),MAPE (%)
LightGBM,Medium,0.9401610228491741,0.9222419158230151,3774118.085012415,2491813.962246531,33.84420058869658
Random Forest,Low,0.9592483449407502,0.9100624228345662,4058946.250677918,2696885.4142321483,24.9285864556578
XGBoost,Medium,0.9318439340319219,0.9015872107927452,4245887.46030321,2729612.2060644533,39.496029039885215
TabNet,High,0.9364861405579828,0.8889599384263471,4510062.448432894,2968878.852821045,30.274723272234162
SVM,Low,0.8513844945050391,0.8251334821339852,5659734.247380298,3654382.4716179715,54.03572818144907
Poly Regression,Low,-0.4664487769588479,0.6579562112632691,7915594.946694097,5495986.926986617,73.00733967892639
TCN,High,0.7346161603927612,0.5101464433090008,9472744.884333707,7018850.084664459,72.61320278652096
LSTM,High,0.12746620178222656,-0.3219857316719452,15561666.088637099,11963438.435546875,475.7131741050274
